"","Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","Beta9","Beta10"
"p=1",0.000228336271515869,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p=2",0.000185155649388621,2.40829606663345e-05,NA,NA,NA,NA,NA,NA,NA,NA
"p=3",0.00352968681458334,2.08263606486084e-05,4.27180747219895e-05,NA,NA,NA,NA,NA,NA,NA
"p=4",0.00391887560222283,0.000426362638560486,4.63340931417618e-05,3.11696036558417e-06,NA,NA,NA,NA,NA,NA
"p=5",2.436865013128,0.0155614411565155,0.148952856957584,0.000164224253340041,0.000210853617738957,NA,NA,NA,NA,NA
"p=6",3.33232775914519,0.756625929276495,0.302191293003442,0.0473064983565562,0.000579202041021665,6.94910551592738e-05,NA,NA,NA,NA
"p=7",38.3596573592612,65.3336561978608,11.6561496042603,3.0178201337856,0.127898960889194,0.00371950923499767,6.81256794583703e-05,NA,NA,NA
"p=8",7.18781226917725,0.862658839628421,1.08216923508148,0.0735239815783537,0.0080129804601227,0.000329583413656945,4.01142633486204e-06,1.14519389725619e-07,NA,NA
"p=9",9326.51347841296,63.18837874962,1414.76736903835,4.6516753015105,11.5761895248912,0.0148346202617725,0.0105303908575457,3.27534819499608e-06,9.41654221923552e-07,NA
"p=10",42.9556141354075,5.84153411148201,9.57783564492784,0.875092984874323,0.140639323081767,0.0087672124888609,0.00028185892019735,1.21915062445084e-05,6.33473164680849e-08,2.08919677648876e-09
